date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:23	44/44	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2268907e2f-18%22	https://smansatupasirkuda.sch.id/robots.txt		(from )
22:41:24	98444/98444	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202026%2015:41:23%20GMT	https://smansatupasirkuda.sch.id/	smansatupasirkuda.sch.id/index.html	(from )
22:41:25	28915/28915	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e2f-70f3%22	https://smansatupasirkuda.sch.id/cms/css/font-awesome.min.css	smansatupasirkuda.sch.id/cms/css/font-awesome.min.css	(from https://smansatupasirkuda.sch.id/)
22:41:26	121004/121004	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e2f-1d8ac%22	https://smansatupasirkuda.sch.id/cms/css/bootstrap.min.css	smansatupasirkuda.sch.id/cms/css/bootstrap.min.css	(from https://smansatupasirkuda.sch.id/)
22:41:27	76201/76201	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e30-129a9%22	https://smansatupasirkuda.sch.id/themes/template2/css/animate.css	smansatupasirkuda.sch.id/themes/template2/css/animate.css	(from https://smansatupasirkuda.sch.id/)
22:41:28	28367/28367	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e30-6ecf%22	https://smansatupasirkuda.sch.id/themes/template2/css/icomoon.css	smansatupasirkuda.sch.id/themes/template2/css/icomoon.css	(from https://smansatupasirkuda.sch.id/)
22:41:29	14423/14423	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e2f-3857%22	https://smansatupasirkuda.sch.id/cms/css/sweetalert.css	smansatupasirkuda.sch.id/cms/css/sweetalert.css	(from https://smansatupasirkuda.sch.id/)
22:41:30	8515/8515	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e30-2143%22	https://smansatupasirkuda.sch.id/themes/template2/css/magnific-popup.css	smansatupasirkuda.sch.id/themes/template2/css/magnific-popup.css	(from https://smansatupasirkuda.sch.id/)
22:41:31	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e30-d17%22	https://smansatupasirkuda.sch.id/themes/template2/css/owl.carousel.min.css	smansatupasirkuda.sch.id/themes/template2/css/owl.carousel.min.css	(from https://smansatupasirkuda.sch.id/)
22:41:32	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2268907e30-3f5%22	https://smansatupasirkuda.sch.id/themes/template2/css/owl.theme.default.min.css	smansatupasirkuda.sch.id/themes/template2/css/owl.theme.default.min.css	(from https://smansatupasirkuda.sch.id/)
