date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:28	9840/9840	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Mar%202020%2011:13:08%20GMT	https://sman1bdg.sch.id/robots.txt		(from )
17:24:35	162382/162382	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202026%2010:24:33%20GMT	https://sman1bdg.sch.id/	sman1bdg.sch.id/index.html	(from )
17:24:36	42/42	---MCZ	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2002%20Mar%202026%2010:24:36%20GMT	https://sman1bdg.sch.id/xmlrpc.php	sman1bdg.sch.id/xmlrpc.0.delayed	(from https://sman1bdg.sch.id/)
17:24:36	4771/4771	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	(from https://sman1bdg.sch.id/)
17:24:37	10850/10850	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	(from https://sman1bdg.sch.id/)
17:24:39	16876/16876	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	(from https://sman1bdg.sch.id/)
17:24:39	50422/50422	---MCZ	200	added ('OK')	application/rss+xml	etag:%222a37318d28c011ac1cd3641704081697%22	https://sman1bdg.sch.id/feed/	sman1bdg.sch.id/feed/index.html	(from https://sman1bdg.sch.id/)
17:24:39	743/743	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bf9b5ecab0bddcec89b9fb80d760a861%22	https://sman1bdg.sch.id/comments/feed/	sman1bdg.sch.id/comments/feed/index.html	(from https://sman1bdg.sch.id/)
17:24:40	20237/20237	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	(from https://sman1bdg.sch.id/)
17:24:40	49648/49648	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	sman1bdg.sch.id/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	(from https://sman1bdg.sch.id/)
17:24:41	693/693	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202017%2013:32:14%20GMT	https://sman1bdg.sch.id/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.6.10	sman1bdg.sch.id/wp-content/plugins/gtranslate/gtranslate-style24dac3.css	(from https://sman1bdg.sch.id/)
17:24:43	51338/51338	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Feb%202021%2001:52:02%20GMT	https://sman1bdg.sch.id/wp-includes/css/dist/block-library/style.min.css?ver=5.6.10	sman1bdg.sch.id/wp-includes/css/dist/block-library/style.mindac3.css	(from https://sman1bdg.sch.id/)
17:24:43	5790/5790	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Mar%202020%2004:35:28%20GMT	https://sman1bdg.sch.id/wp-content/plugins/wen-skill-charts/public/css/wen-skill-charts-public.css?ver=1.5	sman1bdg.sch.id/wp-content/plugins/wen-skill-charts/public/css/wen-skill-charts-public7ef2.css	(from https://sman1bdg.sch.id/)
17:24:44	5092/5092	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202020%2007:36:44%20GMT	https://sman1bdg.sch.id/wp-content/plugins/tablepress/css/default.min.css?ver=1.14	sman1bdg.sch.id/wp-content/plugins/tablepress/css/default.mind50e.css	(from https://sman1bdg.sch.id/)
17:24:45	30267/30267	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Feb%202021%2001:42:52%20GMT	https://sman1bdg.sch.id/wp-content/plugins/wp-whatsapp-chat-dis/assets/frontend/css/frontend.css?ver=4.8.0	sman1bdg.sch.id/wp-content/plugins/wp-whatsapp-chat-dis/assets/frontend/css/frontend287d.css	(from https://sman1bdg.sch.id/)
17:24:51	178014/178014	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.15.3	sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/flatsomeb73d.css	(from https://sman1bdg.sch.id/)
17:24:51	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.15.3	sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/icons/fl-icons8af9.eot	(from https://sman1bdg.sch.id/)
17:24:52	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Jan%202022%2013:05:00%20GMT	https://sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	sman1bdg.sch.id/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	(from https://sman1bdg.sch.id/)
